ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,sigla_da_uf,no_de_cursos_com_cpc_no_trienio,alfa_(proporcao_de_graduacao),conceito_medio_de_graduacao,beta_(proporcao_de_mestrado_equivalente),conceito_medio_de_mestrado,gama_(proporcao_de_doutorandos_-_equivalente),conceito_medio_do_doutorado,igc_(continuo),igc_(faixa),(observacao),entidade_beneficiente_de_assistencia_social_(cebas)
2022,2287,ESCOLA SUPERIOR DE TEOLOGIA E ESPIRITUALIDADE FRANCISCANA,ESTEF,Faculdade,Privada sem fins lucrativos,RS,1,1.0,2.7196,0.0,0.0,0.0,0.0,2.7196,3,1,-
2022,2288,FACULDADE ALMEIDA RODRIGUES,FAR,Faculdade,Privada com fins lucrativos,GO,3,1.0,2.6978,0.0,0.0,0.0,0.0,2.6978,3,1,-
2022,2297,FACULDADE DE DIREITO DE SANTA MARIA,FADISMA,Faculdade,Privada com fins lucrativos,RS,2,1.0,2.5172,0.0,0.0,0.0,0.0,2.5172,3,1,-
2022,2301,FACULDADE FIDELIS,FF,Faculdade,Privada sem fins lucrativos,PR,2,1.0,2.9708,0.0,0.0,0.0,0.0,2.9708,4,1,X
2022,2311,FACULDADE KENNEDY DE MINAS GERAIS - FKMG,FKMG,Faculdade,Privada com fins lucrativos,MG,1,1.0,3.0323,0.0,0.0,0.0,0.0,3.0323,4,1,-
2022,2320,INSTITUTO SUPERIOR DE EDUCAÇÃO ATENEU,ISEAT,Faculdade,Privada com fins lucrativos,ES,2,1.0,1.6487,0.0,0.0,0.0,0.0,1.6487,2,1,-
2022,2323,FACULDADE DA AMAZÔNIA,FAMA,Faculdade,Privada com fins lucrativos,RO,1,,0.0,0.0,0.0,0.0,0.0,,SC,2,-
2022,2324,Faculdade Anhanguera de São José-SC,0,Faculdade,Privada com fins lucrativos,SC,6,1.0,2.5515,0.0,0.0,0.0,0.0,2.5515,3,1,-
2022,2328,FACULDADE ITEANA DE BOTUCATU,FITB,Faculdade,Privada sem fins lucrativos,SP,3,1.0,2.7886,0.0,0.0,0.0,0.0,2.7886,3,1,-
2022,2330,Faculdade Cândido Rondon,FCR,Faculdade,Privada sem fins lucrativos,,1,1.0,1.7494,0.0,0.0,0.0,0.0,1.7494,2,1,-
2022,2334,FACULDADE CNEC RIO DAS OSTRAS,0,Faculdade,Privada sem fins lucrativos,RJ,7,1.0,2.1729,0.0,0.0,0.0,0.0,2.1729,3,1,X
